Ticker,Company,Date,Time,Quarter Ending, Market Cap 
CCS,"Century Communities, Inc.",28-Jan-26,After Hours,25-Dec,"1,908,220,000"
MFF,MFF Capital Investments Limited,28-Jan-26,,25-Dec,"1,903,000,000"
CMPR,Cimpress plc,28-Jan-26,,25-Dec,"1,841,010,000"
500252,LMW Limited,28-Jan-26,,25-Dec,"1,837,210,000"
DOM,Dometic Group AB (publ),28-Jan-26,,25-Dec,"1,780,200,000"
SNI,Stolt-Nielsen Limited,28-Jan-26,,25-Nov,"1,739,520,000"
RRKABEL,R R Kabel Limited,28-Jan-26,,25-Dec,"1,668,360,000"
MBIN,Merchants Bancorp,28-Jan-26,After Hours,25-Dec,"1,599,700,000"
514162,Welspun Living Limited,28-Jan-26,,25-Dec,"1,468,220,000"
CARTRADE,CarTrade Tech Limited,28-Jan-26,,25-Dec,"1,421,280,000"
7278,EXEDY Corporation,28-Jan-26,,25-Dec,"1,388,670,000"
ENTEL,Empresa Nacional de Telecomunicaciones S.A.,28-Jan-26,,25-Dec,"1,374,470,000"
BSOFT,Birlasoft Limited,28-Jan-26,,25-Dec,"1,322,250,000"
MANYAVAR,Vedant Fashions Limited,28-Jan-26,,25-Dec,"1,284,770,000"
CNMD,CONMED Corporation,28-Jan-26,After Hours,25-Dec,"1,264,420,000"
NAVI,Navient Corporation,28-Jan-26,Pre Market,25-Dec,"1,242,240,000"
OBK,"Origin Bancorp, Inc.",28-Jan-26,After Hours,25-Dec,"1,209,770,000"
6807,"Japan Aviation Electronics Industry, Limited",28-Jan-26,,25-Dec,"1,116,730,000"
ASA,ASA Gold and Precious Metals Limited,28-Jan-26,,25-Nov,"1,091,950,000"
DLX,Deluxe Corporation,28-Jan-26,After Hours,25-Dec,"1,090,540,000"
8336,"The Musashino Bank, Ltd.",28-Jan-26,,25-Dec,"1,048,870,000"
9551,"METAWATER Co., Ltd.",28-Jan-26,,25-Dec,"1,003,110,000"
540575,Star Cement Limited,28-Jan-26,,25-Dec,"996,070,000"
UVSP,Univest Financial Corporation,28-Jan-26,After Hours,25-Dec,"993,230,000"
STAR,Strides Pharma Science Limited,28-Jan-26,,25-Dec,"973,780,000"
ASIC,Ategrity Specialty Insurance Company Holdings,28-Jan-26,,25-Dec,"874,810,000"
CFFN,"Capitol Federal Financial, Inc.",28-Jan-26,Pre Market,25-Dec,"868,010,000"
CPF,Central Pacific Financial Corp.,28-Jan-26,,25-Dec,"842,920,000"
2678,ASKUL Corporation,28-Jan-26,,25-Dec,"798,160,000"
VOLTAMP,Voltamp Transformers Limited,28-Jan-26,,25-Dec,"753,700,000"
GREENLAM,Greenlam Industries Limited,28-Jan-26,,25-Dec,"753,590,000"
5440,Kyoei Steel Ltd.,28-Jan-26,,25-Dec,"681,880,000"
6104,"Shibaura Machine Co.,Ltd.",28-Jan-26,,25-Dec,"655,550,000"
ETD,Ethan Allen Interiors Inc.,28-Jan-26,After Hours,25-Dec,"636,920,000"
517168,Subros Limited,28-Jan-26,,25-Dec,"627,910,000"
NIITMTS,NIIT Learning Systems Limited,28-Jan-26,,25-Dec,"614,940,000"
ALRS,Alerus Financial Corporation,28-Jan-26,After Hours,25-Dec,"600,900,000"
MNRO,"Monro, Inc.",28-Jan-26,,25-Dec,"583,280,000"
6345,Aichi Corporation,28-Jan-26,,25-Dec,"578,810,000"
WASH,"Washington Trust Bancorp, Inc.",28-Jan-26,After Hours,25-Dec,"574,280,000"
HONE,"HarborOne Bancorp, Inc.",28-Jan-26,,25-Dec,"553,300,000"
4552,"JCR Pharmaceuticals Co., Ltd.",28-Jan-26,,25-Dec,"537,180,000"
SAMS,Samse SA,28-Jan-26,,25-Dec,"528,410,000"
CARERATING,CARE Ratings Limited,28-Jan-26,,25-Dec,"514,470,000"
