Ticker,Company,Date,Time,Quarter Ending, Market Cap 
KARO,Karooooo Ltd.,20-Jan-26,After Hours,Nov-25," 1,438,080,000 "
KARURVYSYA,The Karur Vysya Bank Limited,23-Jan-26,,Dec-25," 2,637,480,000 "
KBANK,Kasikornbank Public Company Limited,20-Jan-26,,Dec-25," 12,130,660,000 "
KEY,KeyCorp,20-Jan-26,Pre Market,Dec-25," 20,428,090,000 "
KIMBER A,"Kimberly-Clark de México, S. A. B. de C. V.",22-Jan-26,,Dec-25," 6,303,270,000 "
KITW,Kitwave Group plc,22-Jan-26,,Oct-25," 218,610,000 "
KMI,"Kinder Morgan, Inc.",21-Jan-26,After Hours,Dec-25," 65,786,160,000 "
KMI,"Kinder Morgan Kansas, Inc.",21-Jan-26,,Dec-25, - 
KNX,Knight-Swift Transportation Holdings Inc.,21-Jan-26,,Dec-25," 7,274,410,000 "
KOMN,Komax Holding AG,20-Jan-26,,Dec-25," 431,950,000 "
KOV,Korvest Ltd,22-Jan-26,,Dec-25," 118,610,000 "
KRITIKA,Kritika Wires Limited,20-Jan-26,,Dec-25," 19,790,000 "
KRNY,Kearny Financial Corp.,22-Jan-26,,Dec-25," 490,090,000 "
KSBI,"KS Bancorp, Inc.",23-Jan-26,,Dec-25," 66,470,000 "
KTB,Krung Thai Bank Public Company Limited,21-Jan-26,,Dec-25," 10,809,020,000 "
LAURUSLABS,Laurus Labs Limited,23-Jan-26,,Dec-25," 6,618,660,000 "
LEM,Leading Edge Materials Corp.,23-Jan-26,,Oct-25," 50,540,000 "
LIGHT,Signify N.V.,23-Jan-26,,Dec-25," 2,819,380,000 "
LINC,Linc AB,22-Jan-26,,Dec-25," 406,410,000 "
LOB,"Live Oak Bancshares, Inc.",21-Jan-26,After Hours,Dec-25," 1,812,300,000 "
LPA,LPA Group Plc,21-Jan-26,,Sep-25," 8,800,000 "
LSBK,"Lake Shore Bancorp, Inc.",21-Jan-26,,Dec-25," 112,300,000 "
LWB,Lubelski Wegiel Bogdanka S.A.,20-Jan-26,,Dec-25," 193,980,000 "
LYTS,LSI Industries Inc.,22-Jan-26,,Dec-25," 664,820,000 "
MAGI,MAG Interactive AB (publ),20-Jan-26,,Nov-25," 18,300,000 "
MARK,AlRayan Bank Q.P.S.C.,21-Jan-26,,Dec-25," 5,722,290,000 "
MASTEK,Mastek Limited,20-Jan-26,,Dec-25," 679,000,000 "
MBCN,Middlefield Banc Corp.,22-Jan-26,,Dec-25," 283,930,000 "
MBLY,Mobileye Global Inc.,22-Jan-26,,Dec-25," 10,164,040,000 "
MBWM,Mercantile Bank Corporation,20-Jan-26,Pre Market,Dec-25," 878,300,000 "
MCB,Metropolitan Bank Holding Corp.,20-Jan-26,After Hours,Dec-25," 906,160,000 "
MCBI,"Mountain Commerce Bancorp, Inc.",20-Jan-26,,Dec-25," 148,460,000 "
MCBS,"MetroCity Bankshares, Inc.",20-Jan-26,,Dec-25," 731,290,000 "
MCX,Multi Commodity Exchange of India Limited,23-Jan-26,,Dec-25," 4,678,810,000 "
