Ticker,Company,Date,Time,Quarter Ending,Market Cap
AP4,Riverstone Holdings Limited,23-Feb-26,,Dec-25,1060090000
4743,"Oneness Biotech Co., Ltd.",23-Feb-26,,Dec-25,1058960000
SNL,Supply Network Limited,23-Feb-26,,Dec-25,1054050000
VIR,"Vir Biotechnology, Inc.",23-Feb-26,After Hours,Dec-25,1051790000
HLX,"Helix Energy Solutions Group, Inc.",23-Feb-26,After Hours,Dec-25,1032510000
COR,"Corticeira Amorim, S.G.P.S., S.A.",23-Feb-26,,Dec-25,1023910000
MEGA,Mega Lifesciences Public Company Limited,23-Feb-26,,Dec-25,1020940000
MALAKOF,Malakoff Corporation Berhad,23-Feb-26,,Dec-25,1013890000
DEA,"Easterly Government Properties, Inc.",23-Feb-26,Pre Market,Dec-25,1009210000
EVER,"EverQuote, Inc.",23-Feb-26,After Hours,Dec-25,997420000
GNP,GenusPlus Group Ltd,23-Feb-26,,Dec-25,965150000
SIDO,PT Industri Jamu dan Farmasi Sido Muncul Tbk,23-Feb-26,,Dec-25,962180000
ADN,First Sponsor Group Limited,23-Feb-26,,Dec-25,931940000
SOKM,Sok Marketler Ticaret A.S.,23-Feb-26,,Dec-25,856570000
LINC,Lincoln Educational Services Corporation,23-Feb-26,Pre Market,Dec-25,855110000
PLOW,"Douglas Dynamics, Inc.",23-Feb-26,After Hours,Dec-25,854820000
6561,Chief Telecom Inc.,23-Feb-26,,Dec-25,854090000
3714,ENNOSTAR Inc.,23-Feb-26,,Dec-25,825830000
6116,HannStar Display Corporation,23-Feb-26,,Dec-25,822120000
LFG,Liberty Financial Group Limited,23-Feb-26,,Dec-25,815420000
AUTO,PT Astra Otoparts Tbk,23-Feb-26,,Dec-25,796030000
FWRD,Forward Air Corporation,23-Feb-26,After Hours,Dec-25,795890000
VAMO3,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",23-Feb-26,,Dec-25,778610000
CNNE,"Cannae Holdings, Inc.",23-Feb-26,After Hours,Dec-25,770820000
2040,Saudi Ceramic Company,23-Feb-26,,Dec-25,758640000
