Ticker,Company,Date,Time,Quarter Ending,Market Cap
NETC,Netcompany Group A/S,03-Feb-26,,Dec-25,2195190000
PAX,Patria Investments Limited,03-Feb-26,Pre Market,Dec-25,2188720000
EMBLA,Embla Medical hf.,03-Feb-26,,Dec-25,2157450000
500165,Kansai Nerolac Paints Limited,03-Feb-26,,Dec-25,2125510000
500870,Castrol India Limited,03-Feb-26,,Dec-25,2106590000
8174,"Nippon Gas Co., Ltd.",03-Feb-26,,Dec-25,2075950000
VITR,Vitrolife AB (publ),03-Feb-26,,Dec-25,1881090000
6622,DAIHEN Corporation,03-Feb-26,,Dec-25,1850350000
JJSF,J&J Snack Foods Corp.,03-Feb-26,,Dec-25,1813610000
2810,House Foods Group Inc.,03-Feb-26,,Dec-25,1813540000
HMN,Horace Mann Educators Corporation,03-Feb-26,After Hours,Dec-25,1807300000
SONO,"Sonos, Inc.",03-Feb-26,After Hours,Dec-25,1792790000
BHE,"Benchmark Electronics, Inc.",03-Feb-26,After Hours,Dec-25,1756830000
CRLA,Caisse Régionale de Crédit Agricole Mutuel du Languedoc Société coopérative,03-Feb-26,,Dec-25,1741820000
8368,"The Hyakugo Bank, Ltd.",03-Feb-26,,Dec-25,1691000000
5857,"ARE Holdings, Inc.",03-Feb-26,,Dec-25,1652050000
XIOR,Xior Student Housing NV,03-Feb-26,,Dec-25,1562210000
A004170,SHINSEGAE Inc.,03-Feb-26,,Dec-25,1463640000
531335,Zydus Wellness Limited,03-Feb-26,,Dec-25,1453690000
4617,"Chugoku Marine Paints, Ltd.",03-Feb-26,,Dec-25,1443720000
ANOD B,Addnode Group AB (publ),03-Feb-26,,Dec-25,1429730000
4966,"Parade Technologies, Ltd.",03-Feb-26,,Dec-25,1411500000
BDB,Banco di Desio e della Brianza S.p.A.,03-Feb-26,,Dec-25,1399580000
519600,CCL Products (India) Limited,03-Feb-26,,Dec-25,1384940000
4206,"Aica Kogyo Company, Limited",03-Feb-26,,Dec-25,1369930000
ATS,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,03-Feb-26,,Dec-25,1368750000
6472,NTN Corporation,03-Feb-26,,Dec-25,1286190000
RPOWER,Reliance Power Limited,03-Feb-26,,Dec-25,1276020000
RES,"RPC, Inc.",03-Feb-26,Pre Market,Dec-25,1231910000
BV,"BrightView Holdings, Inc.",03-Feb-26,After Hours,Dec-25,1213110000
A006360,GS Engineering & Construction Corporation,03-Feb-26,,Dec-25,1189490000
NAZARA,Nazara Technologies Limited,03-Feb-26,,Dec-25,1185090000
NGL,NGL Energy Partners LP,03-Feb-26,,Dec-25,1184310000
AAT,"American Assets Trust, Inc.",03-Feb-26,After Hours,Dec-25,1171680000
8367,"The Nanto Bank, Ltd.",03-Feb-26,,Dec-25,1158650000
5482,Aichi Steel Corporation,03-Feb-26,,Dec-25,1151630000
A064760,"Tokai Carbon Korea Co., Ltd.",03-Feb-26,,Dec-25,1135660000
8386,"The Hyakujushi Bank, Ltd.",03-Feb-26,,Dec-25,1134570000
6632,JVCKENWOOD Corporation,03-Feb-26,,Dec-25,1130170000
5384,Fujimi Incorporated,03-Feb-26,,Dec-25,1119560000
ATX,ATEX Resources Inc.,03-Feb-26,,Dec-25,1097220000
HFCL,HFCL Limited,03-Feb-26,,Dec-25,1068130000
SSII,"SS Innovations International, Inc.",03-Feb-26,,Dec-25,1049430000
AU8U,CapitaLand China Trust,03-Feb-26,,Dec-25,1047070000
INWI,Inwido AB (publ),03-Feb-26,,Dec-25,975970000
CHBB.F,Chubb Limited,03-Feb-26,After Hours,Dec-25,966760000
7224,"ShinMaywa Industries, Ltd.",03-Feb-26,,Dec-25,950010000
6486,"Eagle Industry Co.,Ltd.",03-Feb-26,,Dec-25,947510000
SNCY,"Sun Country Airlines Holdings, Inc.",03-Feb-26,,Dec-25,935440000
ALBAV,Ålandsbanken Abp,03-Feb-26,,Dec-25,874120000
FUBO,fuboTV Inc.,03-Feb-26,Pre Market,Dec-25,867090000
HTLD,"Heartland Express, Inc.",03-Feb-26,,Dec-25,818620000
MATW,Matthews International Corporation,03-Feb-26,After Hours,Dec-25,817010000
ACGP,"Associated Capital Group, Inc.",03-Feb-26,,Dec-25,812790000
BECTORFOOD,Mrs. Bectors Food Specialities Limited,03-Feb-26,,Dec-25,742840000
THFF,First Financial Corporation,03-Feb-26,,Dec-25,742090000
INNV,InnovAge Holding Corp.,03-Feb-26,After Hours,Dec-25,732680000
9010,"Fuji Kyuko Co., Ltd.",03-Feb-26,,Dec-25,729920000
SNT,Synektik Spólka Akcyjna,03-Feb-26,,Dec-25,681190000
PILANIINVS,Pilani Investment and Industries Corporation Limited,03-Feb-26,,Dec-25,644020000
FTC,Filtronic plc,03-Feb-26,,Nov-25,585770000
KREF,KKR Real Estate Finance Trust Inc.,03-Feb-26,After Hours,Dec-25,583500000
CMSINFO,CMS Info Systems Limited,03-Feb-26,,Dec-25,573690000
HGINFRA,H.G. Infra Engineering Limited,03-Feb-26,,Dec-25,548490000
APPS,"Digital Turbine, Inc.",03-Feb-26,After Hours,Dec-25,537190000
TRNS,"Transcat, Inc.",03-Feb-26,After Hours,Dec-25,524260000
BDN,Brandywine Realty Trust,03-Feb-26,After Hours,Dec-25,522830000
EQV1V,eQ Oyj,03-Feb-26,,Dec-25,518430000
PGC,Peapack-Gladstone Financial Corporation,03-Feb-26,,Dec-25,514880000
A214320,Innocean Worldwide Inc.,03-Feb-26,,Dec-25,511720000
6413,Riso Kagaku Corporation,03-Feb-26,,Dec-25,504130000
