Ticker,Company,Date,Time,Quarter Ending,  Market Cap (bil$) 
3191,"Joyful Honda Co.,Ltd.",29-Jan-26,,25-Dec,818
A003570,"Snt Dynamics Co.,Ltd.",29-Jan-26,,25-Dec,817
532313,Mahindra Lifespace Developers Limited,29-Jan-26,,25-Dec,804
GMRP&UI,GMR Power And Urban Infra Limited,29-Jan-26,,25-Dec,793
3593,"Hogy Medical Co.,Ltd.",29-Jan-26,,25-Dec,791
CRTO,Caisse Régionale de Crédit Agricole Mutuel de la Touraine et du Poitou Société Coopérative,29-Jan-26,,25-Dec,755
EQUITASBNK,Equitas Small Finance Bank Limited,29-Jan-26,,25-Dec,745
KTKBANK,The Karnataka Bank Limited,29-Jan-26,,25-Dec,739
8871,"GOLDCREST Co.,Ltd.",29-Jan-26,,25-Dec,706
MHRIL,Mahindra Holidays & Resorts India Limited,29-Jan-26,,25-Dec,687
PARB,Pareto Bank ASA,29-Jan-26,,25-Dec,682
RVRC,RVRC Holding AB (publ),29-Jan-26,,25-Dec,651
FISI,"Financial Institutions, Inc.",29-Jan-26,After Hours,25-Dec,639
IVR,Invesco Mortgage Capital Inc.,29-Jan-26,,25-Dec,638
LGBBROSLTD,L.G. Balakrishnan & Bros Limited,29-Jan-26,,25-Dec,637
8014,"Chori Co., Ltd.",29-Jan-26,,25-Dec,636
CMO,Caisse Régionale de Crédit Agricole du Morbihan,29-Jan-26,,25-Dec,630
TEXRAIL,Texmaco Rail & Engineering Limited,29-Jan-26,,25-Dec,617
GHCL,GHCL Limited,29-Jan-26,,25-Dec,616
SXC,"SunCoke Energy, Inc.",29-Jan-26,,25-Dec,616
532395,AXISCADES Technologies Limited,29-Jan-26,,25-Dec,615
SFL,Sheela Foam Limited,29-Jan-26,,25-Dec,614
4290,Prestige International Inc.,29-Jan-26,,25-Dec,603
BZH,"Beazer Homes USA, Inc.",29-Jan-26,After Hours,25-Dec,602
RNK,The Rank Group Plc,29-Jan-26,,25-Dec,596
9997,"Belluna Co., Ltd.",29-Jan-26,,25-Dec,595
ITM,ITM Power Plc,29-Jan-26,,25-Oct,591
CVLG,"Covenant Logistics Group, Inc.",29-Jan-26,After Hours,25-Dec,584
6345,Aichi Corporation,29-Jan-26,,25-Dec,579
PRAJIND,Praj Industries Limited,29-Jan-26,,25-Dec,569
HZO,"MarineMax, Inc.",29-Jan-26,Pre Market,25-Dec,538
INTRUM,Intrum AB (publ),29-Jan-26,,25-Dec,537
4956,"Konishi Co., Ltd.",29-Jan-26,,25-Dec,536
4549,"Eiken Chemical Co., Ltd.",29-Jan-26,,25-Dec,531
AROW,Arrow Financial Corporation,29-Jan-26,,25-Dec,529
RRBI,"Red River Bancshares, Inc.",29-Jan-26,,25-Dec,522
500128,Electrosteel Castings Limited,29-Jan-26,,25-Dec,521
6946,"Nippon Avionics Co., Ltd.",29-Jan-26,,25-Dec,514
FFWM,First Foundation Inc.,29-Jan-26,Pre Market,25-Dec,501
